Date,Forward,Contract,Route,Price
1/1/2024,M1,M_Jan_2024,BCI5TC,24000
1/1/2024,M2,M_Feb_2024,BCI5TC,14875
1/1/2024,M3,M_Mar_2024,BCI5TC,15625
1/1/2024,Q0,M_Apr_2024,BCI5TC,13250
1/1/2024,Q1,Q_1_2024,BCI5TC,17950
1/1/2024,Q2,Q_2_2024,BCI5TC,19750
1/1/2024,Q3,Q_3_2024,BCI5TC,21000
1/1/2024,Y0,Q_4_2024,BCI5TC,21571
1/1/2024,Y1,Y_2024,BCI5TC,20050
1/1/2024,Y2,Y_2025,BCI5TC,18000
1/1/2024,Y3,Y_2026,BCI5TC,17586
1/1/2024,M0,Y_2027,BCI5TC,17421
1/2/2024,M1,M_Jan_2024,BCI5TC,22375
1/2/2024,M2,M_Feb_2024,BCI5TC,13575
1/2/2024,M3,M_Mar_2024,BCI5TC,14875
1/2/2024,Q0,M_Apr_2024,BCI5TC,16900
1/2/2024,Q1,Q_1_2024,BCI5TC,16900
1/2/2024,Q2,Q_2_2024,BCI5TC,18850
1/2/2024,Q3,Q_3_2024,BCI5TC,21175
1/2/2024,Y0,Q_4_2024,BCI5TC,21289
1/2/2024,Y1,Y_2024,BCI5TC,19625
1/2/2024,Y2,Y_2025,BCI5TC,17750
1/2/2024,Y3,Y_2026,BCI5TC,17450
1/2/2024,M0,Y_2027,BCI5TC,17307
1/3/2024,M1,M_Jan_2024,BCI5TC,22175
1/3/2024,M2,M_Feb_2024,BCI5TC,13375
1/3/2024,M3,M_Mar_2024,BCI5TC,14975
1/3/2024,Q0,M_Apr_2024,BCI5TC,17125
1/3/2024,Q1,Q_1_2024,BCI5TC,16800
1/3/2024,Q2,Q_2_2024,BCI5TC,18825
1/3/2024,Q3,Q_3_2024,BCI5TC,21000
1/3/2024,Y0,Q_4_2024,BCI5TC,21346
1/3/2024,Y1,Y_2024,BCI5TC,19450
1/3/2024,Y2,Y_2025,BCI5TC,17800
1/3/2024,Y3,Y_2026,BCI5TC,17471
1/3/2024,M0,Y_2027,BCI5TC,17339
1/4/2024,M1,M_Jan_2024,BCI5TC,24125
1/4/2024,M2,M_Feb_2024,BCI5TC,15250
1/4/2024,M3,M_Mar_2024,BCI5TC,16250
1/4/2024,Q0,M_Apr_2024,BCI5TC,17425
1/4/2024,Q1,Q_1_2024,BCI5TC,18525
1/4/2024,Q2,Q_2_2024,BCI5TC,19650
1/4/2024,Q3,Q_3_2024,BCI5TC,21700
1/4/2024,Y0,Q_4_2024,BCI5TC,21886
1/4/2024,Y1,Y_2024,BCI5TC,20475
1/4/2024,Y2,Y_2025,BCI5TC,18175
1/4/2024,Y3,Y_2026,BCI5TC,17629
