Date,Forward,Contract,Route,Price
1/1/2024,M0,M_Jan_2024,BPI5TC,15850
1/1/2024,M1,M_Feb_2024,BPI5TC,14700
1/1/2024,M2,M_Mar_2024,BPI5TC,15450
1/1/2024,M3,M_Apr_2024,BPI5TC,14225
1/1/2024,Q0,Q_1_2024,BPI5TC,15450
1/1/2024,Q1,Q_2_2024,BPI5TC,15700
1/1/2024,Q2,Q_3_2024,BPI5TC,14475
1/1/2024,Q3,Q_4_2024,BPI5TC,13618
1/1/2024,Y0,Y_2024,BPI5TC,14925
1/1/2024,Y1,Y_2025,BPI5TC,12800
1/1/2024,Y2,Y_2026,BPI5TC,12193
1/1/2024,Y3,Y_2027,BPI5TC,12136
1/2/2024,M0,M_Jan_2024,BPI5TC,13550
1/2/2024,M1,M_Feb_2024,BPI5TC,12850
1/2/2024,M2,M_Mar_2024,BPI5TC,13950
1/2/2024,M3,M_Apr_2024,BPI5TC,13950
1/2/2024,Q0,Q_1_2024,BPI5TC,13450
1/2/2024,Q1,Q_2_2024,BPI5TC,14275
1/2/2024,Q2,Q_3_2024,BPI5TC,13600
1/2/2024,Q3,Q_4_2024,BPI5TC,12868
1/2/2024,Y0,Y_2024,BPI5TC,13600
1/2/2024,Y1,Y_2025,BPI5TC,12300
1/2/2024,Y2,Y_2026,BPI5TC,11921
1/2/2024,Y3,Y_2027,BPI5TC,11957
1/3/2024,M0,M_Jan_2024,BPI5TC,12925
1/3/2024,M1,M_Feb_2024,BPI5TC,11800
1/3/2024,M2,M_Mar_2024,BPI5TC,13375
1/3/2024,M3,M_Apr_2024,BPI5TC,13250
1/3/2024,Q0,Q_1_2024,BPI5TC,12700
1/3/2024,Q1,Q_2_2024,BPI5TC,14050
1/3/2024,Q2,Q_3_2024,BPI5TC,13225
1/3/2024,Q3,Q_4_2024,BPI5TC,12836
1/3/2024,Y0,Y_2024,BPI5TC,13125
1/3/2024,Y1,Y_2025,BPI5TC,12175
1/3/2024,Y2,Y_2026,BPI5TC,11907
1/3/2024,Y3,Y_2027,BPI5TC,11900
1/4/2024,M0,M_Jan_2024,BPI5TC,13225
1/4/2024,M1,M_Feb_2024,BPI5TC,11975
1/4/2024,M2,M_Mar_2024,BPI5TC,13525
1/4/2024,M3,M_Apr_2024,BPI5TC,13125
1/4/2024,Q0,Q_1_2024,BPI5TC,12900
1/4/2024,Q1,Q_2_2024,BPI5TC,14375
1/4/2024,Q2,Q_3_2024,BPI5TC,13625
1/4/2024,Q3,Q_4_2024,BPI5TC,13264
1/4/2024,Y0,Y_2024,BPI5TC,13650
1/4/2024,Y1,Y_2025,BPI5TC,12275
1/4/2024,Y2,Y_2026,BPI5TC,11950
1/4/2024,Y3,Y_2027,BPI5TC,11929
1/5/2024,M0,M_Jan_2024,BPI5TC,12875
1/5/2024,M1,M_Feb_2024,BPI5TC,11800
1/5/2024,M2,M_Mar_2024,BPI5TC,13550
1/5/2024,M3,M_Apr_2024,BPI5TC,14000
1/5/2024,Q0,Q_1_2024,BPI5TC,12750
1/5/2024,Q1,Q_2_2024,BPI5TC,14225
1/5/2024,Q2,Q_3_2024,BPI5TC,13650
1/5/2024,Q3,Q_4_2024,BPI5TC,13386
1/5/2024,Y0,Y_2024,BPI5TC,13544
1/5/2024,Y1,Y_2025,BPI5TC,12300
1/5/2024,Y2,Y_2026,BPI5TC,11979
1/5/2024,Y3,Y_2027,BPI5TC,11950
1/8/2024,M0,M_Jan_2024,BPI5TC,12875
1/8/2024,M1,M_Feb_2024,BPI5TC,11800
1/8/2024,M2,M_Mar_2024,BPI5TC,13550
1/8/2024,M3,M_Apr_2024,BPI5TC,14000
1/8/2024,Q0,Q_1_2024,BPI5TC,12750
1/8/2024,Q1,Q_2_2024,BPI5TC,14225
1/8/2024,Q2,Q_3_2024,BPI5TC,13650
1/8/2024,Q3,Q_4_2024,BPI5TC,12864
1/8/2024,Y0,Y_2024,BPI5TC,13544
1/8/2024,Y1,Y_2025,BPI5TC,12300
1/8/2024,Y2,Y_2026,BPI5TC,11807
1/8/2024,Y3,Y_2027,BPI5TC,11843
1/9/2024,M0,M_Jan_2024,BPI5TC,11625
1/9/2024,M1,M_Feb_2024,BPI5TC,10375
1/9/2024,M2,M_Mar_2024,BPI5TC,12225
1/9/2024,M3,M_Apr_2024,BPI5TC,12000
1/9/2024,Q0,Q_1_2024,BPI5TC,11400
1/9/2024,Q1,Q_2_2024,BPI5TC,13225
1/9/2024,Q2,Q_3_2024,BPI5TC,12850
1/9/2024,Q3,Q_4_2024,BPI5TC,12679
1/9/2024,Y0,Y_2024,BPI5TC,12537.5
1/9/2024,Y1,Y_2025,BPI5TC,11750
1/9/2024,Y2,Y_2026,BPI5TC,11707
1/9/2024,Y3,Y_2027,BPI5TC,11771
1/10/2024,M0,M_Jan_2024,BPI5TC,11975
1/10/2024,M1,M_Feb_2024,BPI5TC,10875
1/10/2024,M2,M_Mar_2024,BPI5TC,12975
1/10/2024,M3,M_Apr_2024,BPI5TC,12000
1/10/2024,Q0,Q_1_2024,BPI5TC,11975
1/10/2024,Q1,Q_2_2024,BPI5TC,13675
1/10/2024,Q2,Q_3_2024,BPI5TC,13275
1/10/2024,Q3,Q_4_2024,BPI5TC,13032
1/10/2024,Y0,Y_2024,BPI5TC,13000
1/10/2024,Y1,Y_2025,BPI5TC,12025
1/10/2024,Y2,Y_2026,BPI5TC,11757
1/10/2024,Y3,Y_2027,BPI5TC,11771
1/11/2024,M0,M_Jan_2024,BPI5TC,11850
1/11/2024,M1,M_Feb_2024,BPI5TC,10825
1/11/2024,M2,M_Mar_2024,BPI5TC,12850
1/11/2024,M3,M_Apr_2024,BPI5TC,13450
1/11/2024,Q0,Q_1_2024,BPI5TC,11841.5
1/11/2024,Q1,Q_2_2024,BPI5TC,13750
1/11/2024,Q2,Q_3_2024,BPI5TC,13325
1/11/2024,Q3,Q_4_2024,BPI5TC,13050
1/11/2024,Y0,Y_2024,BPI5TC,12950
1/11/2024,Y1,Y_2025,BPI5TC,12000
1/11/2024,Y2,Y_2026,BPI5TC,11793
1/11/2024,Y3,Y_2027,BPI5TC,11779
1/12/2024,M0,M_Jan_2024,BPI5TC,12075
1/12/2024,M1,M_Feb_2024,BPI5TC,11450
1/12/2024,M2,M_Mar_2024,BPI5TC,13250
1/12/2024,M3,M_Apr_2024,BPI5TC,13600
1/12/2024,Q0,Q_1_2024,BPI5TC,12225
1/12/2024,Q1,Q_2_2024,BPI5TC,14100
