Date,C2,C3,C5,C7,C8,C9,C10,C14,C16,C17,C5TC_180,C5TC_182
1/1/2024,14.656,24.989,11.185,16.788,38313,46938,26805,21875,4489,18.872,28177,28177
1/2/2024,14.786,28.306,10.56,16.8,38614,47688,23691,26975,4917,20.217,28896,28896
1/3/2024,14.886,29.417,10.08,17.323,40000,49688,21668,29255,5261,20.678,29599,29599
1/4/2024,14.929,29.489,9.7,17.68,42429,52375,19868,29860,5567,20.628,30282,30282
1/5/2024,15.086,29.397,9.975,18.2,45071,54688,20795,29840,5872,20.55,31497,31497
1/8/2024,14.886,27.044,9.57,18.057,44500,53813,19205,26000,5581,19.456,29851,29851
1/9/2024,13.464,25.25,8.565,17.65,42500,51375,15405,22885,2572,18.622,26941,26941
1/10/2024,12.286,23.972,8.35,14.857,31857,46563,13732,20160,833,17.967,22362,22362
1/11/2024,11.457,22.689,8.195,13.786,27786,43813,13014,17990,-556,17.283,20105,20105
1/12/2024,10.836,22.011,7.965,13.071,23821,40688,11955,16775,-1667,16.739,18015,18015
1/15/2024,10.264,20.844,7.82,12.229,19143,38250,11282,14125,-2639,15.228,15589,15589
1/16/2024,10.057,19.872,7.815,11.971,18214,37313,11073,12595,-3056,14.867,14753,14753
1/17/2024,9.95,19.556,7.8,11.471,17107,37713,10923,12220,-3211,14.717,14375,14375
1/18/2024,9.75,21.383,8.14,11.136,15250,39500,12555,15400,-2989,15.25,15365,15365
1/19/2024,10.179,23.833,8.77,12.143,19250,43188,15473,19025,-1822,16.356,18608,18608
1/22/2024,10.136,22.794,8.32,12.964,22643,44250,13709,17800,-1822,16.333,18842,18842
1/23/2024,9.886,21.461,7.79,12.807,22321,42938,11395,15625,-2328,15.756,17412,17412
1/24/2024,9.507,21.061,8.155,13.036,23393,44375,12605,14870,-3817,15.628,17787,17787
1/25/2024,9.207,20.783,7.925,13.136,23500,44250,11495,14440,-4739,15.506,17298,17298
1/26/2024,9.714,21.311,7.87,13.35,24429,43500,11214,14960,-3039,15.689,17708,17708
1/29/2024,9.636,21.311,7.67,13.1,22571,39750,10095,14285,-2956,15.639,16337,16337
1/30/2024,9.529,20.906,7.485,12.779,20843,38188,8995,13260,-3344,15.444,15130,15130
1/31/2024,9.679,21.722,7.965,12.55,19814,38563,10786,14550,-3422,15.839,15680,15680
2/1/2024,9.521,22.15,8.415,12.171,18357,39125,12627,15280,-4033,16.156,15953,15953
